Item type,Authors,Title,Date published
Journal Article,"Garza-Vargas J,Kulkarni A",The Lanczos algorithm under few iterations: concentration and location of the output,2020
Journal Article,"Michiels W,Fenzi L",Spectrum-based stability analysis and stabilization of time-periodic time-delay systems,2020
Journal Article,"Miao CQ,Tan X",On global convergence of subspace projection methods for Hermitian eigenvalue problems,2020
Journal Article,"Li S,Li YT",Checkable criteria for the M-positive definiteness of fourth-order partially symmetric tensors,2020
Journal Article,"Liu Q,Liao Q",$p$-norm $B$-tensors and $p$-norm $B_0$-tensors,2020
Journal Article,Liu CS,A positivity preserving iterative method for finding the ground states of saturable nonlinear Schroedinger equations,2020
Journal Article,Fikioris G,Eigenvalue bifurcations in Kac-Murdock-Szego matrices with a complex parameter,2020
Journal Article,"Zuo Q,He Y",Preconditioned GMRES method for a class of Toeplitz linear systems in fractional eigenvalue problems,2020
Journal Article,Kunkel P,A smooth version of Sylvester's law of inertia and its numerical realization,2020
Journal Article,"Aceto L,Mazza M,Serra-Capizzano S","Fractional Laplace operator in two dimensions, approximating matrices, and related spectral analysis",2020
Journal Article,"Heydari M,Shahzadeh-Fazeli SA,Karbassi SM,Hooshmandasl MR",On the inverse eigenvalue problem for periodic Jacobi matrices,2020
Journal Article,"Yang Z,Huang R,Zhu W",Accurate computations for eigenvalues of products of Cauchy-polynomial-Vandermonde matrices,2020
Journal Article,Babaie-Kafaki S,A modified scaled memoryless symmetric rank-one method,2020
Journal Article,"Yao TT,Bai ZJ,Jin X,Zhao Z",A geometric Gauss-Newton method for least squares inverse eigenvalue problems,2020
Journal Article,"Zhou M,Tan J,Liao H,Wang Z,Mao R",Dismantling complex networks based on the principal eigenvalue of the adjacency matrix,2020
Journal Article,"Sang H,Li M,Liu P,Wang C,Luan T",Credibility verification of Z-eigenpairs of symmetric tensors based on inverse-free Newton's method,2020
Journal Article,Dey P,Definite determinantal representations of multivariate polynomials,2020
Journal Article,"Gergelits T,Nielsen BF,Strakos Z",Generalized spectrum of second order differential operators,2020
Journal Article,"Kong X,Du B,Feng X,Luo J",Unified and self-stabilized parallel algorithm for multiple generalized eigenpairs extraction,2020
Journal Article,"Altmann R,Froidevaux M",PDE eigenvalue iterations with applications in two-dimensional photonic crystals,2020
Journal Article,"Fu Y,Jiang X,Jiang Z,Jhang S",Inverses and eigenpairs of tridiagonal Toeplitz matrix with opposite-bordered rows,2020
Journal Article,"Dopico F,Marcaida S,Quintana MC,Van Dooren P",Local linearizations of rational matrices with application to rational approximations of nonlinear eigenvalue problems,2020
Journal Article,"De Teran F,Dmytryshyn A,Dopico F",Generic symmetric matrix polynomials with bounded rank and fixed odd grade,2020
Journal Article,"Jiao A,Zhao J,Li YT",\it SGB-tensors and its applications,2020
Journal Article,"Ali M,Nouy A",Singular value decomposition in Sobolev spaces: Part I,2020
Journal Article,"Chang J,Chen Y,Qi L,Yan H",Hypergraph clustering using a new Laplacian tensor with applications in image processing,2020
Journal Article,"Wang L,Zhang LH,Bai Z,Li RC",Orthogonal canonical correlation analysis and applications,2020
Journal Article,"Wang Y,Wu G",Refined bounds on the number of distinct eigenvalues of a matrix after low-rank update,2020
Journal Article,"Bevilacqua R,Del Corso GM,Gemignani L",Efficient reduction of compressed unitary plus low rank matrices to Hessenberg form,2020
Journal Article,"Zhang LH,Yang WH,Shen C,Ying J",An eigenvalue-based method for the unbalanced Procrustes problem,2020
Journal Article,Hsue WL,"Eigenvectors of ordinary, generalized, centered and offset discrete Fourier transforms based on lookup table methods: efficiency and approximation uses",2020
Journal Article,"Andre R,Luciani X,Moreau E",Joint eigenvalue decomposition algorithms based on first-order Taylor expansion,2020
Journal Article,"Prevost C,Usevich K,Comon P,Brie D",Hyperspectral super-resolution with coupled Tucker approximation: recoverability and SVD-based algorithms,2020
Journal Article,"Henneke F,Lin L,Vorwerk C,Draxl C,Klein R,Yang C",Fast optical absorption spectra calculations for periodic solid state systems,2020
Journal Article,"Aliyev N,Benner P,Mengi E,Voigt M",A subspace framework for $\Cal H_\infty $-norm minimization,2020
Journal Article,Xu H,A core-chasing symplectic QR algorithm,2020
Journal Article,"Ma W,Chen X",Two-step inexact Newton-type method for inverse singular value problems,2020
Journal Article,"Li Y,Liu H,Wen Z,Yuan YX",Low-rank matrix iteration using polynomial-filtered subspace extraction,2020
Journal Article,"Campos C,Roman JE",A polynomial Jacobi-Davidson solver with support for non-monomial bases and deflation,2020
Journal Article,"Li W,Liu D,Vong SW,Xiao M","Multilinear PageRank: uniqueness, error bound and perturbation analysis",2020
Journal Article,"Brust JJ,Marcia RF,Petra CG",Computationally efficient decompositions of oblique projection matrices,2020
Journal Article,"Miao H,Wang L",Preconditioned inexact Jacobi-Davidson method for large symmetric eigenvalue problems,2020
Journal Article,"Marques O,Demmel J,Vasconcelos PB",Bidiagonal SVD computation via an associated tridiagonal eigenproblem,2020
Journal Article,"Shi W,Luo Y,Wu G",On general matrix exponential discriminant analysis methods for high dimensionality reduction,2020
Journal Article,"Lu H,Tartakovsky DM",Prediction accuracy of dynamic mode decomposition,2020
Journal Article,"Penke C,Marek A,Vorwerk C,Draxl C,Benner P",High performance solution of skew-symmetric eigenvalue problems with applications in solving the Bethe-Salpeter eigenvalue problem,2020
Journal Article,"Phalippou P,Bouabdallah S,Breitkopf P,Villon P,Zarroug M",`On-the-fly' snapshots selection for proper orthogonal decomposition with application to nonlinear dynamics,2020
Journal Article,"Bagarello F,Gargano F",Eigenvalues of non-Hermitian matrices: a dynamical and an iterative approach---application to a truncated Swanson model,2020
Journal Article,"Xie HQ,Chen M",An incomplete modal method for eigenvector derivatives of polynomial eigenvalue problems,2020
Journal Article,"Arrigo F,Higham DJ,Tudisco F",A framework for second-order eigenvector centralities and clustering coefficients,2020
Journal Article,"Dmytryshyn A,Johansson S,Kagstroem B,Van Dooren P",Geometry of matrix polynomial spaces,2020
Journal Article,"Buse C,O'Regan D",A surjectivity problem for matrices and null controllability for difference and differential matrix equations,2020
Journal Article,"Ahmad SS,Kanhya P",Structured perturbation analysis of sparse matrix pencils with $s$-specified eigenpairs,2020
Journal Article,"Wang Y,Wu G",On the Kahan-Parlett-Jiang theorem---a globally optimal backward perturbation error for two-sided invariant subspaces,2020
Journal Article,"Huang TM,Li T,Lin JW,Lin WW,Tian H",Structure-preserving methods for computing complex band structures of three dimensional photonic crystals,2020
Journal Article,"Greenbaum A,Li RC,Overton ML",First-order perturbation theory for eigenvalues and eigenvectors,2020
Journal Article,"Sosa F,Moro J,Mehl C",First order structure-preserving perturbation theory for eigenvalues of symplectic matrices,2020
Journal Article,"Che ML,Wei Y,Yan H",The computation of low multilinear rank approximations of tensors via power scheme and random projection,2020
Journal Article,"Malyshev A,Sadkane M",Computing the distance to continuous-time instability of quadratic matrix polynomials,2020
Journal Article,Aishima K,Convergence proof of the harmonic Ritz pairs of iterative projection methods with restart strategies for symmetric eigenvalue problems,2020
Journal Article,"Crane DK,Gockenbach MS,Roberts MJ",Approximating the singular value expansion of a compact operator,2020
Journal Article,"Liu Y,Qi X",Optimality of singular vector perturbation under maximum norm,2020
Journal Article,"Volkova A,Hilaire T,Lauter C",Arithmetic approaches for rigorous design of reliable fixed-point LTI filters,2020
Journal Article,"Intawichai S,Chaturantabut S",A numerical study of efficient sampling strategies for randomized singular value decomposition,2020
Journal Article,"Sebacher B,Hanea R",Channelized reservoir estimation using a low-dimensional parameterization based on high-order singular value decomposition,2020
Journal Article,"Chen L,Wang S",Moderate deviations for extreme eigenvalues of beta-Laguerre ensembles,2020
Journal Article,"Choi Y,Coombs D,Anderson R",SNS: a solution-based nonlinear subspace method for time-dependent model order reduction,2020
Journal Article,"Kubinova M,Soodhalter KM",Admissible and attainable convergence behavior of block Arnoldi and GMRES,2020
Journal Article,"Allen L,Kirby RC",Structured inversion of the Bernstein mass matrix,2020
Journal Article,"Miao CQ,Tan X",Accelerating the Arnoldi method via Chebyshev polynomials for computing PageRank,2020
Journal Article,"Elsworth S,Guettel S",The block rational Arnoldi method,2020
Journal Article,Nakatsukasa Y,Sharp error bounds for Ritz vectors and approximate singular vectors,2020
Journal Article,"Beltran C,Kozhasov K",The real polynomial eigenvalue problem is well conditioned on the average,2020
Journal Article,"Yu Y,Hou G,Chen A",Comments on ``A note on structured pseudospectra of block matrices'' [J. Comput. Appl. Math. 322 (2017) 18--24],2020
Journal Article,"Demyanko KV,Kaporin IE,Nechepurenko YM",Inexact Newton method for the solution of eigenproblems arising in hydrodynamic temporal stability analysis,2020
Journal Article,"Nasser R,Sadkane M",Convergence and preconditioning of inexact inverse subspace iteration for generalized eigenvalue problems,2020
Journal Article,"Espig M,Hackbusch W,Litvinenko A,Matthies HG,Zander E",Iterative algorithms for the post-processing of high-dimensional data,2020
Journal Article,"Bai M,Zhao J,Zhang Z",A descent cautious BFGS method for computing US-eigenvalues of symmetric complex tensors,2020
Journal Article,"Zhao R,Fan J",Higher-degree tensor eigenvalue complementarity problems,2020
Journal Article,"Zhang M,Ni G,Zhang G",Iterative methods for computing U-eigenvalues of non-symmetric complex tensors with application in quantum entanglement,2020
Journal Article,"Wang X,Che ML,Wei Y",Tensor neural network models for tensor singular value decompositions,2020
